model,scenario,GWL1.5,GWL2.0,GWL3.0,GWL4.0
INM-CM5-0,ssp585,2029.0,2044.0,2072.0,
INM-CM5-0,ssp370,2033.0,2050.0,2082.0,
INM-CM5-0,ssp245,2033.0,2068.0,,
INM-CM5-0,ssp126,2033.0,,,
CAMS-CSM1-0,ssp585,2053.0,2069.0,,
CAMS-CSM1-0,ssp370,2055.0,2074.0,,
CAMS-CSM1-0,ssp245,2064.0,,,
CAMS-CSM1-0,ssp126,,,,
MIROC6,ssp585,2038.0,2052.0,2075.0,
MIROC6,ssp370,2042.0,2058.0,2091.0,
MIROC6,ssp245,2045.0,2074.0,,
MIROC6,ssp126,,,,
GFDL-ESM4,ssp585,2040.0,2053.0,2076.0,
GFDL-ESM4,ssp370,2042.0,2059.0,2085.0,
GFDL-ESM4,ssp245,2047.0,2075.0,,
GFDL-ESM4,ssp126,,,,
MPI-ESM1-2-HR,ssp585,2033.0,2050.0,2074.0,
MPI-ESM1-2-HR,ssp370,2036.0,2052.0,2082.0,
MPI-ESM1-2-HR,ssp245,2038.0,2063.0,,
MPI-ESM1-2-HR,ssp126,2043.0,,,
FGOALS-f3-L,ssp585,2025.0,2039.0,2062.0,2081.0
FGOALS-f3-L,ssp370,2025.0,2040.0,2068.0,
FGOALS-f3-L,ssp245,2026.0,2046.0,,
FGOALS-f3-L,ssp126,2024.0,,,
BCC-CSM2-MR,ssp585,2031.0,2044.0,2066.0,
BCC-CSM2-MR,ssp370,2033.0,2047.0,2075.0,
BCC-CSM2-MR,ssp245,2035.0,2058.0,,
BCC-CSM2-MR,ssp126,2042.0,,,
MRI-ESM2-0,ssp585,2028.0,2042.0,2065.0,2085.0
MRI-ESM2-0,ssp370,2032.0,2047.0,2077.0,
MRI-ESM2-0,ssp245,2032.0,2051.0,,
MRI-ESM2-0,ssp126,2032.0,,,
IPSL-CM6A-LR,ssp585,2017.0,2030.0,2050.0,2065.0
IPSL-CM6A-LR,ssp370,2018.0,2032.0,2055.0,2074.0
IPSL-CM6A-LR,ssp245,2018.0,2032.0,2063.0,
IPSL-CM6A-LR,ssp126,2018.0,2034.0,,
ACCESS-CM2,ssp585,2029.0,2040.0,2057.0,2072.0
ACCESS-CM2,ssp370,2031.0,2042.0,2063.0,2083.0
ACCESS-CM2,ssp245,2031.0,2044.0,2074.0,
ACCESS-CM2,ssp126,2031.0,2049.0,,
CESM2-WACCM,ssp585,2024.0,2036.0,2056.0,2071.0
CESM2-WACCM,ssp370,2031.0,2044.0,2066.0,2088.0
CESM2-WACCM,ssp245,2028.0,2043.0,2080.0,
CESM2-WACCM,ssp126,2025.0,2042.0,,
CNRM-CM6-1,ssp585,2028.0,2041.0,2059.0,2073.0
CNRM-CM6-1,ssp370,2032.0,2047.0,2068.0,2085.0
CNRM-CM6-1,ssp245,2031.0,2049.0,2084.0,
CNRM-CM6-1,ssp126,2030.0,2068.0,,
